open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720483200000,3.815,3.816,3.800,3.801,57715.1,1720483259999,219717.0739,711,18729.8,71328.5700,0
1720483260000,3.800,3.801,3.794,3.798,33629.0,1720483319999,127701.5575,524,9497.4,36070.8912,0
1720483320000,3.798,3.805,3.797,3.804,17302.3,1720483379999,65762.5197,313,13738.8,52222.3603,0
1720483380000,3.804,3.807,3.800,3.805,14798.1,1720483439999,56290.4891,335,8810.3,33513.8807,0
1720483440000,3.806,3.809,3.803,3.805,26353.4,1720483499999,100299.2430,348,10599.0,40341.5339,0
1720483500000,3.806,3.812,3.804,3.811,40064.5,1720483559999,152534.6456,468,26964.6,102651.2482,0
1720483560000,3.811,3.815,3.808,3.811,37387.4,1720483619999,142510.4173,426,16542.7,63072.6719,0
1720483620000,3.811,3.812,3.803,3.811,23990.7,1720483679999,91333.9518,309,8897.1,33875.7802,0
1720483680000,3.812,3.814,3.805,3.805,16290.8,1720483739999,62060.5238,322,4312.0,16430.6633,0
1720483740000,3.805,3.808,3.800,3.808,18515.9,1720483799999,70439.0578,266,8435.2,32085.6903,0
1720483800000,3.807,3.813,3.804,3.810,9357.7,1720483859999,35637.9032,207,2498.1,9514.6806,0
1720483860000,3.811,3.813,3.807,3.807,11446.7,1720483919999,43617.0110,294,4750.7,18102.1471,0
1720483920000,3.807,3.810,3.806,3.808,22100.9,1720483979999,84140.8715,245,14764.1,56208.1035,0
1720483980000,3.808,3.810,3.805,3.805,15715.1,1720484039999,59843.8701,279,2804.7,10682.3135,0
1720484040000,3.805,3.810,3.805,3.809,12031.9,1720484099999,45808.4334,201,4384.4,16690.6472,0
1720484100000,3.808,3.810,3.804,3.805,13262.2,1720484159999,50502.7469,286,6779.3,25815.6856,0
1720484160000,3.804,3.808,3.800,3.801,13626.0,1720484219999,51828.1330,236,5696.0,21667.7606,0
1720484220000,3.800,3.800,3.793,3.798,23277.5,1720484279999,88376.1838,433,15134.3,57460.9940,0
1720484280000,3.798,3.805,3.798,3.805,17132.0,1720484339999,65123.1637,296,5224.1,19864.6575,0
1720484340000,3.805,3.806,3.800,3.800,10858.6,1720484399999,41295.6296,203,4544.2,17282.6215,0
1720484400000,3.800,3.802,3.787,3.792,38196.6,1720484459999,144832.1393,485,10444.7,39620.7030,0
1720484460000,3.792,3.794,3.791,3.792,10949.0,1720484519999,41522.6164,313,2511.7,9526.8006,0
1720484520000,3.793,3.796,3.791,3.794,30800.8,1720484579999,116853.5169,399,22218.2,84297.1118,0
1720484580000,3.794,3.796,3.788,3.791,42347.2,1720484639999,160535.6305,462,9614.6,36446.8764,0
1720484640000,3.791,3.792,3.787,3.788,7811.4,1720484699999,29598.8436,290,2033.2,7704.4219,0
1720484700000,3.789,3.791,3.787,3.790,4128.4,1720484759999,15641.2877,188,1245.0,4718.3265,0
1720484760000,3.790,3.790,3.785,3.787,14948.8,1720484819999,56606.2088,232,3173.2,12016.0042,0
1720484820000,3.787,3.792,3.786,3.789,14183.5,1720484879999,53745.4099,250,8396.4,31821.5207,0
1720484880000,3.789,3.789,3.785,3.789,6828.6,1720484939999,25863.4954,254,3473.1,13156.5038,0
1720484940000,3.789,3.789,3.785,3.786,4077.7,1720484999999,15446.3908,195,1325.0,5019.2300,0
1720485000000,3.787,3.787,3.772,3.775,78629.0,1720485059999,296869.8265,761,17955.3,67801.6258,0
1720485060000,3.775,3.777,3.769,3.771,24706.9,1720485119999,93186.9035,367,6819.2,25731.5488,0
1720485120000,3.771,3.778,3.770,3.778,30806.0,1720485179999,116276.7434,436,20174.3,76167.7885,0
1720485180000,3.778,3.778,3.769,3.771,23614.2,1720485239999,89062.9348,386,9763.8,36821.5797,0
1720485240000,3.771,3.776,3.770,3.775,9898.7,1720485299999,37351.0417,213,4098.4,15464.8903,0
1720485300000,3.775,3.781,3.774,3.781,12857.1,1720485359999,48576.3819,275,10193.8,38517.6579,0
1720485360000,3.781,3.789,3.779,3.788,9462.1,1720485419999,35826.0189,260,8182.6,30986.2577,0
1720485420000,3.789,3.789,3.782,3.788,10167.7,1720485479999,38494.9793,256,4200.4,15897.4336,0
1720485480000,3.788,3.795,3.788,3.793,18963.4,1720485539999,71924.7853,331,12295.2,46637.1257,0
1720485540000,3.793,3.794,3.788,3.788,15422.3,1720485599999,58486.5215,320,11766.1,44622.3930,0
1720485600000,3.788,3.792,3.787,3.788,19169.8,1720485659999,72639.3183,307,12487.3,47320.5712,0
1720485660000,3.788,3.789,3.785,3.787,11959.7,1720485719999,45294.3326,166,6345.7,24035.0811,0
1720485720000,3.787,3.793,3.786,3.791,8888.5,1720485779999,33678.4262,196,4346.7,16473.0365,0
1720485780000,3.792,3.793,3.791,3.791,3082.2,1720485839999,11686.5929,117,422.2,1601.0592,0
1720485840000,3.790,3.790,3.786,3.788,10491.9,1720485899999,39739.3789,172,4187.2,15858.3118,0
1720485900000,3.787,3.803,3.786,3.803,29885.6,1720485959999,113410.4496,389,19477.7,73922.5513,0
1720485960000,3.802,3.812,3.796,3.796,49627.4,1720486019999,188920.3617,654,22763.2,86686.8827,0
1720486020000,3.797,3.798,3.780,3.790,39515.1,1720486079999,149538.9333,577,21648.6,81931.7262,0
1720486080000,3.789,3.799,3.787,3.788,22763.6,1720486139999,86341.1249,452,11155.8,42322.3689,0
1720486140000,3.788,3.797,3.788,3.792,12656.2,1720486199999,48008.7194,287,5528.6,20971.6334,0
1720486200000,3.791,3.799,3.788,3.788,22214.4,1720486259999,84294.3714,396,13109.5,49744.5417,0
1720486260000,3.788,3.788,3.780,3.787,23872.7,1720486319999,90326.6475,441,7959.9,30119.7390,0
1720486320000,3.787,3.793,3.786,3.791,11304.0,1720486379999,42845.1735,297,5299.6,20089.1112,0
1720486380000,3.791,3.797,3.789,3.794,21197.5,1720486439999,80409.5736,309,17017.8,64554.5918,0
1720486440000,3.794,3.797,3.792,3.793,13163.3,1720486499999,49949.8463,206,5776.7,21923.4477,0
1720486500000,3.793,3.794,3.789,3.792,7919.5,1720486559999,30028.0812,206,3151.5,11950.2696,0
1720486560000,3.792,3.806,3.792,3.806,12472.6,1720486619999,47376.6412,289,9259.9,35179.1652,0
1720486620000,3.806,3.816,3.806,3.812,36243.1,1720486679999,138086.2458,372,16343.5,62265.4928,0
