open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1733356800000,1.212400,1.215700,1.210600,1.210800,587741,1733356859999,713013.608500,1453,324186,393498.625500,0
1733356860000,1.210600,1.214100,1.210000,1.210600,546402,1733356919999,661739.361800,1429,201548,244243.809500,0
1733356920000,1.210500,1.213700,1.210000,1.210400,892452,1733356979999,1080422.305600,1519,220631,267309.922300,0
1733356980000,1.210300,1.212900,1.208200,1.212900,853138,1733357039999,1032433.121500,1754,241274,292109.088100,0
1733357040000,1.212800,1.214800,1.207800,1.209500,450630,1733357099999,545490.417000,1800,146561,177516.723100,0
1733357100000,1.209500,1.214700,1.209500,1.212900,264706,1733357159999,320959.605900,1303,120613,146226.979900,0
1733357160000,1.212800,1.213000,1.206300,1.211600,390646,1733357219999,472485.691400,1545,100409,121378.495300,0
1733357220000,1.211600,1.215200,1.209100,1.214800,231573,1733357279999,280828.188300,1227,116658,141478.209400,0
1733357280000,1.214800,1.215600,1.213600,1.214500,178718,1733357339999,217069.244900,784,78691,95598.123200,0
1733357340000,1.214500,1.216600,1.208900,1.209400,307957,1733357399999,373760.305800,1291,84089,102201.157300,0
1733357400000,1.209500,1.213400,1.208200,1.208300,225254,1733357459999,272713.835400,1231,84180,101963.849800,0
1733357460000,1.208300,1.208400,1.203300,1.203300,275450,1733357519999,332283.819000,1448,63025,76046.664700,0
1733357520000,1.203300,1.205400,1.203200,1.204000,105093,1733357579999,126552.876800,721,39988,48158.839300,0
1733357580000,1.204000,1.204000,1.198800,1.203400,258494,1733357639999,310508.293000,1320,101664,122130.967400,0
1733357640000,1.203200,1.207400,1.201600,1.204100,285329,1733357699999,343472.882000,1080,176699,212730.088300,0
1733357700000,1.204200,1.206200,1.199800,1.200900,382324,1733357759999,459795.837800,1480,105156,126461.115400,0
1733357760000,1.201000,1.203500,1.200700,1.203000,201897,1733357819999,242669.955400,1082,124603,149778.706100,0
1733357820000,1.202900,1.204300,1.200000,1.202400,214828,1733357879999,258233.159300,1143,83671,100617.403900,0
1733357880000,1.202500,1.206800,1.200900,1.203100,183796,1733357939999,221333.400200,1153,95376,114863.493500,0
1733357940000,1.203100,1.204600,1.199600,1.200800,272985,1733357999999,328287.799600,1083,126716,152477.099800,0
1733358000000,1.200800,1.203300,1.198500,1.199200,154484,1733358059999,185518.024500,883,48846,58676.832300,0
1733358060000,1.199200,1.200300,1.197100,1.197900,219297,1733358119999,262872.075400,1127,86043,103182.110000,0
1733358120000,1.197800,1.197800,1.195200,1.195600,269634,1733358179999,322549.467900,941,124040,148377.924400,0
1733358180000,1.195600,1.196600,1.194800,1.196300,152161,1733358239999,181946.356700,786,87950,105172.502400,0
1733358240000,1.196600,1.197900,1.192900,1.193400,297556,1733358299999,355548.476400,1275,94989,113539.031400,0
1733358300000,1.193500,1.200700,1.192900,1.200200,258429,1733358359999,309130.369000,1278,166441,199142.569700,0
1733358360000,1.200200,1.200200,1.198200,1.199800,149332,1733358419999,179064.055000,882,71779,86076.909100,0
1733358420000,1.199800,1.202400,1.199200,1.199900,193143,1733358479999,231984.789100,958,90616,108862.599500,0
1733358480000,1.199800,1.203100,1.199300,1.202900,105728,1733358539999,127016.787300,775,36875,44297.345800,0
1733358540000,1.202900,1.202900,1.199100,1.199300,113039,1733358599999,135759.575900,725,19521,23449.451900,0
1733358600000,1.199200,1.205100,1.198600,1.200800,210542,1733358659999,253152.342900,1452,90109,108366.470700,0
1733358660000,1.200700,1.204100,1.198700,1.204100,289314,1733358719999,347410.756700,1492,170996,205481.601900,0
1733358720000,1.204000,1.206400,1.200900,1.202000,371540,1733358779999,447542.086000,1536,168181,202668.412800,0
1733358780000,1.202100,1.202600,1.196700,1.198300,163716,1733358839999,196496.262300,1324,67449,80966.821400,0
1733358840000,1.198200,1.206000,1.196800,1.206000,178313,1733358899999,214246.313400,1239,106669,128217.599700,0
1733358900000,1.206100,1.206900,1.200600,1.201100,145567,1733358959999,175165.463000,1199,30442,36645.826500,0
1733358960000,1.201100,1.205300,1.200300,1.204400,133909,1733359019999,160991.270700,953,48947,58862.827900,0
1733359020000,1.204500,1.204800,1.198700,1.198700,139545,1733359079999,167678.283000,1006,23513,28273.297900,0
1733359080000,1.198700,1.201700,1.198300,1.200100,114747,1733359139999,137720.345500,763,38088,45714.162000,0
1733359140000,1.200100,1.200100,1.193700,1.194000,167459,1733359199999,200368.685200,1128,35823,42857.070500,0
1733359200000,1.194000,1.195900,1.193600,1.195400,153152,1733359259999,183023.446900,827,73436,87770.058200,0
1733359260000,1.195300,1.200000,1.194800,1.199700,144327,1733359319999,172786.706200,1074,80333,96188.245400,0
1733359320000,1.199900,1.200100,1.197400,1.197400,129869,1733359379999,155732.370900,875,43927,52688.207500,0
1733359380000,1.197500,1.199000,1.196300,1.196900,96197,1733359439999,115205.987300,691,18729,22431.050100,0
1733359440000,1.197100,1.197600,1.194400,1.195500,138919,1733359499999,166160.709200,806,54080,64680.835200,0
1733359500000,1.195700,1.197200,1.193400,1.195200,170256,1733359559999,203516.001600,876,120987,144610.343200,0
1733359560000,1.195400,1.198600,1.194900,1.197300,180129,1733359619999,215603.509400,932,123966,148386.562500,0
1733359620000,1.197200,1.199700,1.195900,1.198300,128469,1733359679999,153913.069200,842,74552,89354.794100,0
1733359680000,1.198200,1.199500,1.196800,1.197400,55646,1733359739999,66670.947600,510,24393,29228.689400,0
1733359740000,1.197300,1.199100,1.194300,1.198200,121654,1733359799999,145569.981900,899,59351,71049.949100,0
1733359800000,1.198300,1.199700,1.197600,1.198000,76507,1733359859999,91707.851300,655,42316,50729.939900,0
1733359860000,1.197900,1.198600,1.195900,1.198600,93062,1733359919999,111438.410600,647,66917,80142.431400,0
1733359920000,1.198700,1.202000,1.198400,1.201500,127345,1733359979999,152797.019300,699,98866,118635.792100,0
1733359980000,1.201400,1.201700,1.195500,1.196100,102036,1733360039999,122197.469700,688,18495,22139.929000,0
1733360040000,1.196000,1.198300,1.193200,1.197700,187901,1733360099999,224583.697700,984,68099,81438.822900,0
1733360100000,1.197500,1.197600,1.195000,1.197300,101960,1733360159999,122011.084500,590,70081,83861.767000,0
1733360160000,1.197100,1.197100,1.194300,1.195400,75042,1733360219999,89710.771500,453,36315,43418.899400,0
1733360220000,1.195300,1.195500,1.192700,1.192700,47179,1733360279999,56338.707800,395,18991,22683.581600,0
1733360280000,1.192700,1.192700,1.188300,1.188800,497369,1733360339999,591802.420000,1378,94107,111950.243100,0
1733360340000,1.189000,1.192600,1.188900,1.191400,281180,1733360399999,335040.634900,706,232709,277296.641600,0
1733360400000,1.191300,1.192900,1.189900,1.190600,211291,1733360459999,251689.695600,1017,93114,110946.550100,0
1733360460000,1.190700,1.192000,1.188400,1.189000,134477,1733360519999,159998.451500,690,77337,92010.772500,0
1733360520000,1.189100,1.189200,1.186000,1.186400,368142,1733360579999,437015.204100,1310,104423,123960.517600,0
1733360580000,1.186500,1.189800,1.185800,1.188000,223785,1733360639999,265807.817800,854,145763,173177.179200,0
1733360640000,1.188000,1.188200,1.185600,1.186200,144478,1733360699999,171443.038800,756,100369,119112.287800,0
1733360700000,1.186200,1.187900,1.182600,1.183100,385803,1733360759999,456918.095900,1351,173254,205214.211200,0
1733360760000,1.183100,1.183600,1.181100,1.181100,211824,1733360819999,250386.410100,745,46174,54592.260700,0
1733360820000,1.181200,1.181400,1.177600,1.178000,1158049,1733360879999,1366325.629900,1911,296259,349560.735800,0
1733360880000,1.178100,1.181900,1.178100,1.180600,397974,1733360939999,469522.844400,1319,278111,328173.395600,0
1733360940000,1.180600,1.182700,1.178700,1.181700,329036,1733360999999,388703.577400,1160,229702,271451.673000,0
1733361000000,1.181700,1.183600,1.177100,1.177900,575904,1733361059999,679802.876200,1740,188361,222590.171600,0
1733361060000,1.178000,1.180800,1.177100,1.180100,368311,1733361119999,434124.397300,1166,171184,201851.558700,0
1733361120000,1.180100,1.181800,1.175000,1.175700,375347,1733361179999,442064.840300,1616,155373,183142.134800,0
1733361180000,1.175700,1.176000,1.164500,1.165300,2072490,1733361239999,2422906.217100,4801,338064,395276.672600,0
1733361240000,1.165200,1.167000,1.161000,1.162400,942699,1733361299999,1096756.932000,3009,307762,358094.610000,0
1733361300000,1.162400,1.174300,1.162200,1.171900,753772,1733361359999,880220.014800,3280,467456,545897.715200,0
1733361360000,1.171800,1.177600,1.168300,1.177600,772644,1733361419999,904953.928700,2466,361800,424077.083300,0
1733361420000,1.177500,1.179800,1.175000,1.175700,342245,1733361479999,403122.263800,1937,195865,230766.841100,0
1733361480000,1.175800,1.175900,1.169000,1.169000,238675,1733361539999,279806.597400,1535,121553,142524.805900,0
1733361540000,1.169100,1.171400,1.166500,1.168300,373760,1733361599999,436743.664700,1869,209152,244446.472000,0
1733361600000,1.168300,1.168700,1.154400,1.155900,1664178,1733361659999,1929473.165600,5238,609263,707000.896800,0
1733361660000,1.156000,1.170800,1.155400,1.170500,947660,1733361719999,1099782.860400,3901,637926,740665.393000,0
1733361720000,1.170700,1.174200,1.166200,1.170400,521577,1733361779999,610317.644300,2807,317085,371139.566800,0
1733361780000,1.170300,1.171500,1.164000,1.165700,395516,1733361839999,461838.401300,2764,176657,206297.181100,0
1733361840000,1.165800,1.166200,1.161300,1.161500,353404,1733361899999,411276.339600,1976,167829,195417.991100,0
1733361900000,1.161700,1.162200,1.157200,1.158300,459490,1733361959999,532561.153400,2053,215155,249395.275200,0
1733361960000,1.158400,1.162800,1.156600,1.157200,587477,1733362019999,681149.785800,2230,257268,298397.756900,0
1733362020000,1.157200,1.163700,1.152500,1.162400,1023528,1733362079999,1183020.305200,3599,468611,542223.941200,0
1733362080000,1.162600,1.164600,1.158700,1.163900,401480,1733362139999,466393.055300,2399,191083,221940.873900,0
1733362140000,1.164000,1.166600,1.161300,1.165200,228303,1733362199999,265883.486300,1413,95777,111525.744300,0
1733362200000,1.165000,1.166600,1.159400,1.163300,475947,1733362259999,553621.594400,2424,234610,272942.597100,0
1733362260000,1.163200,1.165900,1.159500,1.165400,309727,1733362319999,360119.279700,1946,172364,200488.827200,0
1733362320000,1.165300,1.168700,1.161300,1.161800,373962,1733362379999,436010.010300,2009,193786,226089.993400,0
1733362380000,1.161800,1.171400,1.160100,1.170100,510583,1733362439999,596024.069100,2395,316611,369488.813300,0
1733362440000,1.170000,1.170800,1.164900,1.165500,761330,1733362499999,888591.566200,2273,458104,534795.868600,0
1733362500000,1.165600,1.171900,1.162400,1.164600,573376,1733362559999,668695.979900,2387,265476,309836.451400,0
1733362560000,1.164900,1.170200,1.162100,1.170000,499891,1733362619999,582360.020000,2364,271741,316766.002400,0
1733362620000,1.170100,1.171100,1.167800,1.169700,206676,1733362679999,241698.491700,1069,92256,107907.622700,0
1733362680000,1.169700,1.175400,1.169100,1.174300,422489,1733362739999,495223.659100,1663,214769,251847.566500,0
1733362740000,1.174300,1.176700,1.173200,1.175800,234446,1733362799999,275410.119000,1087,173146,203408.236900,0
1733362800000,1.175700,1.179500,1.173300,1.175500,322205,1733362859999,379098.753800,1669,166927,196461.965100,0
1733362860000,1.175600,1.177800,1.174000,1.177300,200971,1733362919999,236309.661100,1221,140551,165295.777900,0
1733362920000,1.177400,1.177900,1.172500,1.173100,196157,1733362979999,230665.171400,1036,86789,102088.758400,0
1733362980000,1.173100,1.177600,1.172800,1.177600,155140,1733363039999,182396.295300,1034,77379,90982.586900,0
1733363040000,1.177700,1.177900,1.172900,1.176100,366953,1733363099999,431364.228400,1348,219182,257702.440000,0
1733363100000,1.176100,1.179600,1.174000,1.175800,267788,1733363159999,315085.839200,1336,121464,142989.737700,0
1733363160000,1.175700,1.177000,1.172500,1.176400,258471,1733363219999,303572.622700,1263,104210,122424.732100,0
1733363220000,1.176400,1.176800,1.173000,1.175300,175349,1733363279999,206046.279500,923,60970,71653.361900,0
1733363280000,1.175400,1.176500,1.170700,1.171500,430507,1733363339999,505325.858200,1188,151799,178134.698300,0
1733363340000,1.171500,1.174500,1.167800,1.173700,348104,1733363399999,407665.319000,1449,186851,218904.605800,0
1733363400000,1.173800,1.174400,1.169100,1.169100,193093,1733363459999,226314.592100,1076,86115,100941.345300,0
1733363460000,1.169300,1.171000,1.167400,1.170300,163996,1733363519999,191764.891700,985,99759,116660.147000,0
1733363520000,1.170300,1.173700,1.167700,1.170400,145114,1733363579999,169919.557100,1180,74896,87696.947000,0
1733363580000,1.170500,1.171200,1.167600,1.169200,204523,1733363639999,239168.230500,903,97737,114321.008500,0
1733363640000,1.169000,1.172100,1.168800,1.171600,128097,1733363699999,149987.398000,761,52753,61771.231500,0
1733363700000,1.171600,1.174700,1.170800,1.174100,232950,1733363759999,273236.707600,882,173138,203100.058400,0
1733363760000,1.174200,1.175500,1.170600,1.175200,117525,1733363819999,137856.385800,923,59456,69750.012800,0
1733363820000,1.175300,1.176500,1.173600,1.174100,201117,1733363879999,236305.176700,949,115875,136168.859100,0
1733363880000,1.174000,1.174400,1.172300,1.173500,98902,1733363939999,116034.768700,706,52895,62066.999600,0
1733363940000,1.173300,1.173700,1.171200,1.171200,156451,1733363999999,183448.551100,674,68327,80142.149900,0
1733364000000,1.171200,1.175900,1.169700,1.170500,423932,1733364059999,497245.870000,2185,240367,281969.322800,0
1733364060000,1.170600,1.176800,1.170200,1.174200,238028,1733364119999,279501.474800,1201,161963,190193.134400,0
1733364120000,1.173900,1.178000,1.171600,1.175000,159027,1733364179999,186854.503000,1308,81742,96065.676800,0
1733364180000,1.174900,1.177300,1.171900,1.177200,169825,1733364239999,199342.258600,1029,106301,124799.713300,0
1733364240000,1.177200,1.177400,1.173200,1.176100,139150,1733364299999,163491.074400,815,67332,79116.141800,0
1733364300000,1.176100,1.176600,1.174500,1.175500,94549,1733364359999,111133.268400,713,65413,76892.990900,0
1733364360000,1.175500,1.175700,1.170200,1.171800,171795,1733364419999,201490.379100,1071,47168,55338.660800,0
1733364420000,1.171900,1.177100,1.171800,1.175700,246105,1733364479999,289135.704400,1097,101908,119727.383600,0
1733364480000,1.175700,1.178400,1.175600,1.178300,372362,1733364539999,438346.137200,1254,294192,346358.816900,0
1733364540000,1.178200,1.181400,1.177800,1.181000,176141,1733364599999,207826.238200,718,141991,167527.333800,0
1733364600000,1.181000,1.181600,1.178800,1.179500,140342,1733364659999,165586.404100,750,40063,47272.082800,0
1733364660000,1.179400,1.179500,1.175100,1.175300,144904,1733364719999,170670.521800,917,46514,54791.963900,0
1733364720000,1.175300,1.178400,1.174000,1.178200,66881,1733364779999,78678.550400,731,39596,46595.438300,0
1733364780000,1.178200,1.183200,1.178200,1.183100,158873,1733364839999,187665.560200,853,130028,153604.190700,0
1733364840000,1.183300,1.185300,1.181600,1.185100,90202,1733364899999,106750.966100,739,49802,58947.235500,0
1733364900000,1.185100,1.186300,1.182300,1.184800,162346,1733364959999,192312.190800,918,73579,87190.984200,0
1733364960000,1.184800,1.186800,1.182800,1.186600,117976,1733365019999,139752.661200,715,77081,91332.814200,0
1733365020000,1.186500,1.192200,1.186100,1.190600,366954,1733365079999,436605.060800,1111,270769,322119.438300,0
1733365080000,1.190500,1.193200,1.190000,1.192100,375858,1733365139999,447839.415800,1294,227870,271565.638600,0
1733365140000,1.191900,1.193600,1.190400,1.191600,126732,1733365199999,151043.536300,689,65054,77545.047000,0
1733365200000,1.191700,1.192900,1.190300,1.191600,257172,1733365259999,306416.511300,908,56997,67917.840900,0
1733365260000,1.191700,1.194500,1.190600,1.191400,278370,1733365319999,332083.072400,1003,199155,237642.097500,0
1733365320000,1.191300,1.192600,1.189600,1.189800,108876,1733365379999,129710.722200,660,38215,45534.228600,0
1733365380000,1.189800,1.190900,1.188900,1.190500,193146,1733365439999,229834.996000,745,100410,119491.683500,0
1733365440000,1.190500,1.193800,1.189100,1.192900,145965,1733365499999,173831.757500,669,51070,60842.041000,0
1733365500000,1.193000,1.196800,1.192900,1.196300,140298,1733365559999,167623.789100,1162,99102,118391.880900,0
1733365560000,1.196200,1.200300,1.196000,1.200000,317765,1733365619999,380765.235600,1333,162292,194506.752200,0
1733365620000,1.200100,1.201000,1.198200,1.198300,435045,1733365679999,521820.846700,2050,138443,166104.666000,0
1733365680000,1.198400,1.201200,1.197800,1.200100,221606,1733365739999,265825.776600,757,160904,193066.613200,0
1733365740000,1.200300,1.204600,1.199800,1.204600,461628,1733365799999,555049.475300,1847,327856,394147.655000,0
1733365800000,1.204600,1.207100,1.202900,1.206400,562785,1733365859999,678247.333800,2304,199596,240634.679100,0
1733365860000,1.206500,1.207400,1.204000,1.206100,418334,1733365919999,504309.497200,1117,91587,110406.730800,0
1733365920000,1.206000,1.207800,1.201000,1.201300,441912,1733365979999,532720.407100,1726,168527,203290.316600,0
1733365980000,1.201300,1.210600,1.200800,1.209900,562706,1733366039999,679258.691200,2309,289439,349339.442100,0
1733366040000,1.209300,1.209800,1.203800,1.206500,485634,1733366099999,586274.286700,2055,195933,236542.793200,0
1733366100000,1.206600,1.206900,1.198400,1.200100,576943,1733366159999,693714.948500,2018,224627,270440.569500,0
1733366160000,1.200000,1.206200,1.199500,1.205500,394356,1733366219999,474706.401500,1524,240912,289979.131900,0
1733366220000,1.205500,1.205800,1.201000,1.202800,294036,1733366279999,353998.869100,1346,130959,157687.972300,0
1733366280000,1.202800,1.208300,1.202600,1.207200,231242,1733366339999,278837.305600,1024,152325,183759.956600,0
1733366340000,1.207100,1.207500,1.202400,1.204200,194557,1733366399999,234416.280900,1219,80306,96763.819900,0
1733366400000,1.204100,1.211200,1.203500,1.211100,248273,1733366459999,300031.436600,1340,188259,227513.020500,0
1733366460000,1.211100,1.215700,1.211000,1.215300,633896,1733366519999,769363.744500,3138,377213,457824.233700,0
1733366520000,1.215500,1.219600,1.214500,1.216600,531219,1733366579999,646621.501700,2675,271657,330752.488600,0
1733366580000,1.216800,1.222700,1.215800,1.222600,884679,1733366639999,1079118.224900,3352,387592,472851.433000,0
1733366640000,1.222500,1.224800,1.221200,1.224400,399819,1733366699999,488971.902200,1953,212377,259785.209500,0
1733366700000,1.224500,1.226100,1.214900,1.216100,743986,1733366759999,908311.190800,2843,247100,301880.807200,0
1733366760000,1.216200,1.219600,1.212400,1.213800,487027,1733366819999,592173.338400,2083,227210,276416.523700,0
1733366820000,1.213800,1.217800,1.212100,1.215400,524822,1733366879999,637582.611900,1590,220059,267467.754600,0
1733366880000,1.215300,1.219800,1.213400,1.213600,311760,1733366939999,379444.630100,1811,138423,168550.735100,0
1733366940000,1.213400,1.214900,1.209400,1.214800,433936,1733366999999,525653.758800,1756,169496,205370.410900,0
1733367000000,1.214900,1.217800,1.210300,1.211100,416841,1733367059999,506327.806000,1461,131422,159755.043400,0
1733367060000,1.210900,1.211600,1.203700,1.209000,817665,1733367119999,986889.848000,2460,318806,384807.351000,0
1733367120000,1.208800,1.210800,1.205400,1.209700,221209,1733367179999,267331.041300,1284,106118,128268.994700,0
1733367180000,1.209900,1.211600,1.207500,1.211500,257986,1733367239999,312056.647900,1065,123313,149135.560700,0
1733367240000,1.211700,1.216600,1.211700,1.213200,233510,1733367299999,283386.934700,1081,105578,128157.858500,0
1733367300000,1.213000,1.214200,1.209800,1.210400,158799,1733367359999,192390.090800,1086,64914,78669.581100,0
1733367360000,1.210400,1.213400,1.208100,1.209200,145427,1733367419999,176151.584600,967,71564,86718.143800,0
1733367420000,1.209000,1.214900,1.207300,1.212000,219542,1733367479999,265997.554500,1435,103357,125231.662000,0
1733367480000,1.211500,1.212100,1.207900,1.211700,139040,1733367539999,168227.341500,971,89440,108220.061900,0
1733367540000,1.211500,1.211900,1.205600,1.205700,201928,1733367599999,243939.166900,1033,72087,87112.874700,0
1733367600000,1.205700,1.213800,1.205300,1.211300,239302,1733367659999,289405.371000,1432,152070,183868.640800,0
1733367660000,1.211200,1.218200,1.210600,1.217000,331205,1733367719999,401898.495700,1611,215062,260997.644800,0
1733367720000,1.217000,1.217800,1.209400,1.214400,364277,1733367779999,442139.372800,2095,168490,204477.964700,0
1733367780000,1.214200,1.217600,1.212300,1.213800,345159,1733367839999,419566.529000,1596,219292,266614.933400,0
1733367840000,1.213700,1.214800,1.209800,1.213600,333425,1733367899999,404355.756200,1638,153123,185701.718100,0
1733367900000,1.213500,1.216300,1.210600,1.215900,296250,1733367959999,359358.625400,1294,133154,161603.882600,0
1733367960000,1.215800,1.216700,1.210900,1.213300,506423,1733368019999,614853.410600,2102,264077,320675.821500,0
1733368020000,1.213300,1.215400,1.210700,1.214600,414539,1733368079999,502775.702900,1622,235281,285359.732000,0
1733368080000,1.214600,1.217700,1.213300,1.215800,502971,1733368139999,611323.369900,1846,236509,287521.627900,0
1733368140000,1.215800,1.219200,1.214600,1.217000,449661,1733368199999,547134.544400,1445,261158,317822.432400,0
1733368200000,1.216800,1.217800,1.205300,1.207100,500007,1733368259999,604912.784000,2097,143885,174041.659200,0
1733368260000,1.207200,1.214200,1.207000,1.209800,353143,1733368319999,427492.447500,1613,233462,282607.984400,0
1733368320000,1.209500,1.210200,1.205300,1.209100,270260,1733368379999,326446.335800,1276,149430,180527.739100,0
1733368380000,1.209100,1.216800,1.208700,1.215200,375415,1733368439999,455820.795600,1476,167818,203649.979500,0
1733368440000,1.215200,1.221200,1.214900,1.219100,278304,1733368499999,339227.948300,1438,167294,203923.989000,0
1733368500000,1.219100,1.223900,1.216300,1.222500,385697,1733368559999,470759.837100,1420,236399,288530.346200,0
1733368560000,1.222500,1.225800,1.220100,1.223100,366122,1733368619999,448089.334600,1533,162171,198514.546100,0
1733368620000,1.222800,1.228100,1.222200,1.225000,314961,1733368679999,386110.126500,1873,147181,180476.840000,0
1733368680000,1.224800,1.225100,1.221100,1.223100,210892,1733368739999,257918.026400,1208,101235,123793.588900,0
1733368740000,1.222700,1.224900,1.220400,1.220700,318626,1733368799999,389511.499600,1207,122146,149351.563800,0
1733368800000,1.220900,1.225500,1.220900,1.223200,281824,1733368859999,344795.303700,1192,147477,180473.486800,0
1733368860000,1.223200,1.228200,1.223200,1.227500,256935,1733368919999,314994.118300,1070,171651,210416.971400,0
1733368920000,1.227400,1.227400,1.223100,1.227000,176579,1733368979999,216368.693600,1115,71239,87281.587800,0
1733368980000,1.227000,1.231100,1.226300,1.229200,693783,1733369039999,852846.887400,2091,288236,354357.736100,0
1733369040000,1.229000,1.229700,1.224300,1.226900,281999,1733369099999,345814.719700,1042,156548,191957.330700,0
1733369100000,1.226900,1.226900,1.218600,1.222300,382941,1733369159999,467684.242500,1587,171770,209798.104400,0
1733369160000,1.222100,1.223100,1.217500,1.220300,338835,1733369219999,413522.997900,1362,157827,192627.275700,0
1733369220000,1.220300,1.222800,1.219000,1.219100,251987,1733369279999,307786.727500,1089,120621,147374.341500,0
1733369280000,1.219100,1.221700,1.214400,1.215300,325994,1733369339999,397008.729100,1235,70482,85922.950700,0
1733369340000,1.215200,1.218200,1.213400,1.214400,173686,1733369399999,211078.701000,986,63517,77228.441200,0
1733369400000,1.214300,1.216700,1.212300,1.213000,317072,1733369459999,384972.697700,1290,166740,202437.566300,0
1733369460000,1.212800,1.212800,1.208500,1.212000,524221,1733369519999,634744.159000,1417,162226,196438.791900,0
1733369520000,1.211800,1.213400,1.205400,1.206200,282973,1733369579999,341958.859000,1426,79932,96728.748600,0
1733369580000,1.206200,1.210400,1.204000,1.210400,370767,1733369639999,447380.650100,1516,218913,264294.004100,0
1733369640000,1.210500,1.211100,1.204200,1.205200,381755,1733369699999,461130.359000,1522,144530,174666.931400,0
1733369700000,1.205200,1.205400,1.199800,1.202100,591213,1733369759999,710338.556500,1804,143682,172610.485400,0
1733369760000,1.202100,1.204100,1.199100,1.200200,379217,1733369819999,455503.016700,1174,201567,242137.261400,0
1733369820000,1.200100,1.200700,1.196000,1.197300,601864,1733369879999,721129.569200,2084,212146,254302.638800,0
1733369880000,1.197500,1.201000,1.195000,1.195500,398614,1733369939999,477306.839100,1559,180211,215916.843700,0
1733369940000,1.195500,1.200900,1.194100,1.199400,405515,1733369999999,486064.793300,1313,189064,226639.616200,0
1733370000000,1.199400,1.200700,1.195500,1.197400,339832,1733370059999,406891.146000,1141,99847,119555.877400,0
1733370060000,1.197400,1.198100,1.192100,1.197600,368935,1733370119999,440876.185700,1500,157811,188638.333600,0
1733370120000,1.197600,1.201400,1.196300,1.199700,227593,1733370179999,272894.597700,1217,103335,123910.263300,0
1733370180000,1.199700,1.202700,1.199000,1.199600,172755,1733370239999,207516.344500,962,78271,94032.405100,0
1733370240000,1.199500,1.200200,1.195700,1.197700,169247,1733370299999,202708.084000,968,63422,75991.307400,0
1733370300000,1.197600,1.199900,1.194000,1.197200,192724,1733370359999,230611.009200,1215,90801,108699.823300,0
1733370360000,1.197200,1.197600,1.192300,1.195500,215752,1733370419999,257702.292700,1172,99902,119372.051000,0
1733370420000,1.195500,1.195800,1.190900,1.193900,198025,1733370479999,236307.138900,1209,80523,96118.055000,0
1733370480000,1.193900,1.194400,1.185700,1.186900,522643,1733370539999,621584.667100,1804,91569,109051.343200,0
1733370540000,1.186800,1.187600,1.184500,1.186200,443941,1733370599999,526531.300900,1886,205082,243315.096500,0
1733370600000,1.186200,1.187700,1.183100,1.186500,385585,1733370659999,456992.112900,1367,176172,208831.745900,0
1733370660000,1.186400,1.187800,1.180400,1.181800,539185,1733370719999,637664.235500,1852,139609,165093.353100,0
1733370720000,1.181900,1.183600,1.180000,1.180100,461360,1733370779999,545176.797600,1530,175408,207317.573200,0
1733370780000,1.180100,1.182100,1.179200,1.180000,348929,1733370839999,411863.925200,1161,162085,191362.344300,0
1733370840000,1.179900,1.180700,1.177300,1.177300,392384,1733370899999,462426.577700,1128,86598,102118.555900,0
1733370900000,1.177500,1.186500,1.176700,1.184900,504086,1733370959999,595561.847900,1707,399563,472107.025200,0
1733370960000,1.184800,1.186500,1.183700,1.184700,190913,1733371019999,226285.961400,836,103321,122485.422000,0
1733371020000,1.184500,1.187200,1.182900,1.185700,297655,1733371079999,352773.209100,1239,138680,164425.621700,0
1733371080000,1.185900,1.187300,1.182900,1.184300,304603,1733371139999,360817.218400,999,99201,117531.561800,0
1733371140000,1.184400,1.186700,1.181100,1.186700,668179,1733371199999,790745.333400,1812,175817,208220.426000,0
1733371200000,1.186600,1.187500,1.181600,1.184400,351160,1733371259999,415794.014400,1527,133879,158593.674900,0
1733371260000,1.184600,1.188100,1.182000,1.184700,327163,1733371319999,387853.656800,1462,182282,216120.171800,0
1733371320000,1.184700,1.187300,1.179800,1.187300,351031,1733371379999,415218.683200,1637,177891,210536.745800,0
1733371380000,1.187400,1.190900,1.184900,1.186400,404232,1733371439999,480026.956400,1905,254850,302678.673300,0
1733371440000,1.186500,1.190900,1.185000,1.190300,250638,1733371499999,297748.879300,1174,100225,119053.765400,0
1733371500000,1.190100,1.192900,1.187900,1.192700,258268,1733371559999,307504.820400,1352,126632,150864.622700,0
1733371560000,1.192600,1.193900,1.190300,1.193300,204241,1733371619999,243580.272300,983,113845,135809.583300,0
1733371620000,1.193200,1.196200,1.191200,1.193300,326785,1733371679999,390211.443800,1204,129121,154276.507200,0
1733371680000,1.193200,1.195400,1.192400,1.194300,236042,1733371739999,281727.495700,1029,71058,84823.190600,0
